CommitId;RefactoringType;RefactoringDetail
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts2 : TestObserver<Void> to to2 : TestObserver<Void> in method public crossDisposeOnError() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts1 : TestObserver<Void> to to1 : TestObserver<Void> in method public dispose() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts2 : TestObserver<Void> to to2 : TestObserver<Void> in method public dispose() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts3 : TestObserver<Void> to to3 : TestObserver<Void> in method public dispose() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts4 : TestObserver<Void> to to4 : TestObserver<Void> in method public dispose() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts1 : TestObserver<Void> to to1 : TestObserver<Void> in method public subscribeRace() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts2 : TestObserver<Void> to to2 : TestObserver<Void> in method public subscribeRace() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts1 : TestObserver<Void> to to1 : TestObserver<Void> in method public subscribeDisposeRace() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts2 : TestObserver<Void> to to2 : TestObserver<Void> in method public subscribeDisposeRace() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public doubleDispose() : void in class io.reactivex.internal.operators.completable.CompletableCacheTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps1 : PublishProcessor<Integer> to pp1 : PublishProcessor<Integer> in method public errorRace() : void in class io.reactivex.internal.operators.completable.CompletableConcatTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ps2 : PublishProcessor<Integer> to pp2 : PublishProcessor<Integer> in method public errorRace() : void in class io.reactivex.internal.operators.completable.CompletableConcatTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public normal() : void in class io.reactivex.internal.operators.completable.CompletableSubscribeOnTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Void> to to : TestObserver<Void> in method public timerInterruptible() : void in class io.reactivex.internal.operators.completable.CompletableTimerTest
ab520503925bc9cdff47d6a4ceaf8b2209b61250;Rename Variable;Rename Variable	ts : TestObserver<Boolean> to to : TestObserver<Boolean> in method public testBackpressureIfNoneRequestedNoneShouldBeDelivered() : void in class io.reactivex.internal.operators.flowable.FlowableAllTest
